Trans_Time,Cost
datetime,float
T,
7/31/2010 1:17,200.37
7/31/2010 1:17,157.7
7/31/2010 1:18,325
7/31/2010 1:18,256.81
7/31/2010 1:18,75
7/31/2010 1:18,547.58
7/31/2010 1:18,149.55
7/31/2010 1:19,387.95
7/31/2010 1:19,40.86
7/31/2010 1:19,468.99
7/31/2010 1:19,75.84
7/31/2010 1:19,151
7/31/2010 1:19,78.34
7/31/2010 1:19,313.44
7/31/2010 1:20,184.84
7/31/2010 1:20,190.1
7/31/2010 1:20,150.03
7/31/2010 1:20,356.7
7/31/2010 1:20,66.5
7/31/2010 1:21,545.81
7/31/2010 1:21,297.21
7/31/2010 1:21,157.97
7/31/2010 1:21,157
7/31/2010 1:21,490.14
7/31/2010 1:21,139.95
7/31/2010 1:22,143.07
7/31/2010 1:22,133
7/31/2010 1:22,423.43
7/31/2010 1:22,113.15
7/31/2010 1:22,311.1
7/31/2010 1:22,145.74
7/31/2010 1:23,136
7/31/2010 1:23,303.88
7/31/2010 1:23,736.8
7/31/2010 1:23,488.79
7/31/2010 1:23,522.83
7/31/2010 1:24,147.96
7/31/2010 1:24,534.27
7/31/2010 1:24,249.33
7/31/2010 1:24,451.29
7/31/2010 1:24,250.31
7/31/2010 1:24,283.92
7/31/2010 1:24,118.59
7/31/2010 1:24,41.5
7/31/2010 1:24,131.4
7/31/2010 1:25,160.2
7/31/2010 1:25,491.3
7/31/2010 1:26,195.91
7/31/2010 1:26,162.51
7/31/2010 1:26,411.91
7/31/2010 1:26,482.15
7/31/2010 1:26,472.17
7/31/2010 1:26,307.97
7/31/2010 1:27,623.53
7/31/2010 1:27,84.7
7/31/2010 1:27,173.35
7/31/2010 1:27,449.84
7/31/2010 1:27,77.12
7/31/2010 1:27,353.56
7/31/2010 1:27,125.25
7/31/2010 1:27,99.26
7/31/2010 1:27,459.05
7/31/2010 1:27,75
7/31/2010 1:28,144.54
7/31/2010 1:28,106.1
7/31/2010 1:29,144.98
7/31/2010 1:29,360.34
7/31/2010 1:30,0
7/31/2010 1:30,345.69
7/31/2010 1:31,150
7/31/2010 1:31,7.2
7/31/2010 1:31,40
7/31/2010 1:31,557.96
7/31/2010 1:32,12.67
7/31/2010 1:32,200
7/31/2010 1:32,71.8
7/31/2010 1:33,275.02
7/31/2010 1:33,297.36
7/31/2010 1:33,63
7/31/2010 1:33,584.01
7/31/2010 1:33,280.01
7/31/2010 1:33,580.77
7/31/2010 1:34,194.52
7/31/2010 1:34,235
7/31/2010 1:34,111.3
7/31/2010 1:34,190.26
7/31/2010 1:35,137.57
7/31/2010 1:35,327
7/31/2010 1:35,350.32
7/31/2010 1:35,184.72
7/31/2010 1:35,162.41
7/31/2010 1:35,289.31
7/31/2010 1:35,76.2
7/31/2010 1:35,142
7/31/2010 1:36,406.48
7/31/2010 1:36,623.07
7/31/2010 1:36,166.38
7/31/2010 1:36,231.22
7/31/2010 1:37,385.45
7/31/2010 1:37,473.1
7/31/2010 1:37,274.93
7/31/2010 1:37,303.63
7/31/2010 1:37,353.71
7/31/2010 1:37,189.02
7/31/2010 1:38,293.7
7/31/2010 1:38,211.52
7/31/2010 1:38,391.2
7/31/2010 1:38,75
7/31/2010 1:38,739.76
7/31/2010 1:38,137.8
7/31/2010 1:38,80.14
7/31/2010 1:39,158.88
7/31/2010 1:39,346.38
7/31/2010 1:39,445.53
7/31/2010 1:39,19.87
7/31/2010 1:39,50.01
7/31/2010 1:39,364.97
7/31/2010 1:39,382.34
7/31/2010 1:41,175.01
7/31/2010 1:41,152.2
7/31/2010 1:42,150.9
7/31/2010 1:42,637.36
7/31/2010 1:42,201.62
7/31/2010 1:42,112.1
7/31/2010 1:42,355.79
7/31/2010 1:42,0
7/31/2010 1:43,189.18
7/31/2010 1:43,81.7
7/31/2010 1:43,118.9
7/31/2010 1:43,177.31
7/31/2010 1:43,400.31
7/31/2010 1:43,171.66
7/31/2010 1:43,595
7/31/2010 1:44,180.06
7/31/2010 1:44,375.1
7/31/2010 1:44,156.65
7/31/2010 1:44,669.81
7/31/2010 1:44,152.79
7/31/2010 1:44,99.3
7/31/2010 1:45,157.07
7/31/2010 1:45,150.36
7/31/2010 1:45,0
7/31/2010 1:46,8.15
7/31/2010 1:46,324.84
7/31/2010 1:46,211.1
7/31/2010 1:46,147.96
7/31/2010 1:46,173.58
7/31/2010 1:47,275.86
7/31/2010 1:47,138.9
7/31/2010 1:47,243.44
7/31/2010 1:47,75.05
7/31/2010 1:47,99.29
7/31/2010 1:47,49.66
7/31/2010 1:47,282.69
7/31/2010 1:47,100.13
7/31/2010 1:47,374.74
7/31/2010 1:48,595.26
7/31/2010 1:48,463.8
7/31/2010 1:48,520.61
7/31/2010 1:48,139.46
7/31/2010 1:49,117.7
7/31/2010 1:49,99.14
7/31/2010 1:49,52.5
7/31/2010 1:49,219.36
7/31/2010 1:50,183.9
7/31/2010 1:50,211.49
7/31/2010 1:50,295.85
7/31/2010 1:50,333.45
7/31/2010 1:50,146.51
7/31/2010 1:50,379.1
